user_id,first_name,last_name,age,city,reg_date,plan,churn_date,cant_mensajes,cant_llamadas,cant_minutos_llamada,grupo_uso,grupo_edad
10014,Luis,Torres,77.0,,2022-01-04 20:00:10.802700675,Basico,,8.0,6.0,14.369999999999997,Uso medio,Adulto Mayor
10015,Carlos,Gomez,47.0,Bogotá,2022-01-05 02:34:28.717179294,Basico,,4.0,5.0,27.270000000000003,Uso medio,Adulto
10016,Mariana,Torres,25.0,Bogotá,2022-01-05 09:08:46.631657914,Basico,,3.0,2.0,18.310000000000002,Bajo uso,Joven
10017,Mariana,Gomez,51.0,Cali,2022-01-05 15:43:04.546136534,Basico,,4.0,4.0,10.74,Bajo uso,Adulto
10018,Luis,Garcia,74.0,GDL,2022-01-05 22:17:22.460615153,Basico,,6.0,4.0,12.969999999999999,Uso medio,Adulto Mayor
10019,Carlos,Lopez,64.0,CDMX,2022-01-06 04:51:40.375093773,Basico,,5.0,5.0,28.41,Uso medio,Adulto Mayor
10020,Mateo,Garcia,26.0,Medellín,2022-01-06 11:25:58.289572393,Premium,,6.0,4.0,9.12,Uso medio,Joven
10021,Ana,Garcia,68.0,Bogotá,2022-01-06 18:00:16.204051012,Basico,,7.0,7.0,46.459999999999994,Uso medio,Adulto Mayor
10022,Carlos,Torres,37.0,,2022-01-07 00:34:34.118529632,Basico,,6.0,6.0,24.47,Uso medio,Adulto
10023,Luis,Lopez,57.0,,2022-01-07 07:08:52.033008252,Basico,,6.0,2.0,3.37,Uso medio,Adulto
10024,Mariana,Gomez,42.0,MTY,2022-01-07 13:43:09.947486871,Basico,,5.0,7.0,30.93,Uso medio,Adulto
10025,Mateo,Gomez,36.0,Bogotá,2022-01-07 20:17:27.861965491,Premium,,3.0,5.0,25.46,Uso medio,Adulto
10026,Carlos,Ramirez,22.0,Bogotá,2022-01-08 02:51:45.776444111,Premium,,3.0,3.0,6.470000000000001,Bajo uso,Joven
10027,Ana,Gomez,28.0,MTY,2022-01-08 09:26:03.690922730,Premium,,8.0,7.0,65.0,Uso medio,Joven
10028,Ana,Torres,32.0,Cali,2022-01-08 16:00:21.605401350,Basico,,5.0,1.0,2.94,Uso medio,Adulto
10029,Sofia,Garcia,25.0,Cali,2022-01-08 22:34:39.519879970,Basico,,8.0,2.0,5.7299999999999995,Uso medio,Joven
10030,Sofia,Garcia,36.0,Bogotá,2022-01-09 05:08:57.434358589,Basico,,7.0,4.0,16.03,Uso medio,Adulto
10031,Luis,Garcia,40.0,CDMX,2022-01-09 11:43:15.348837209,Premium,,8.0,2.0,6.45,Uso medio,Adulto
10032,Carlos,Lopez,44.0,MTY,2022-01-09 18:17:33.263315829,Premium,"1,71832E+18",8.0,2.0,19.119999999999997,Uso medio,Adulto
10033,Carlos,Gomez,57.0,GDL,2022-01-10 00:51:51.177794448,Premium,,2.0,5.0,42.5,Uso medio,Adulto
10034,Mariana,Torres,49.0,Cali,2022-01-10 07:26:09.092273068,Basico,,11.0,5.0,17.57,Alto uso,Adulto
10035,Mariana,Lopez,43.0,CDMX,2022-01-10 14:00:27.006751688,Basico,,2.0,2.0,3.8299999999999996,Bajo uso,Adulto
10036,Mariana,Ramirez,44.0,Cali,2022-01-10 20:34:44.921230307,Basico,,10.0,2.0,2.99,Alto uso,Adulto
10037,Sofia,Torres,79.0,Medellín,2022-01-11 03:09:02.835708927,Premium,,5.0,2.0,4.12,Uso medio,Adulto Mayor
10038,Carlos,Torres,36.0,Medellín,2022-01-11 09:43:20.750187547,Premium,"1,7261E+18",4.0,4.0,11.75,Bajo uso,Adulto
10039,Carlos,Torres,67.0,Bogotá,2022-01-11 16:17:38.664666166,Premium,,9.0,5.0,27.21,Uso medio,Adulto Mayor
10040,Ana,Garcia,59.0,Medellín,2024-05-10 00:00:00.000000000,Basico,,3.0,4.0,32.339999999999996,Bajo uso,Adulto
10041,Sofia,Torres,46.0,Medellín,2022-01-12 05:26:14.493623405,Basico,,4.0,3.0,14.4,Bajo uso,Adulto
10042,Mateo,Gomez,56.0,Cali,2022-01-12 12:00:32.408102025,Basico,"1,72169E+18",4.0,4.0,32.25,Bajo uso,Adulto
10043,Sofia,Torres,77.0,Bogotá,2022-01-12 18:34:50.322580645,Basico,,2.0,5.0,34.93,Uso medio,Adulto Mayor
10044,Mateo,Garcia,58.0,Bogotá,2022-01-13 01:09:08.237059264,Basico,"1,7312E+18",8.0,1.0,6.3,Uso medio,Adulto
10045,Ana,Torres,50.0,Medellín,2022-01-13 07:43:26.151537884,Basico,,7.0,5.0,26.43,Uso medio,Adulto
10046,Luis,Ramirez,36.0,CDMX,2022-01-13 14:17:44.066016504,Premium,,6.0,6.0,32.39,Uso medio,Adulto
10047,Carlos,Ramirez,54.0,Bogotá,2022-01-13 20:52:01.980495123,Premium,"1,72843E+18",4.0,2.0,7.3,Bajo uso,Adulto
10048,Ana,Garcia,36.0,,2022-01-14 03:26:19.894973743,Basico,,3.0,1.0,6.58,Bajo uso,Adulto
10049,Carlos,Gomez,50.0,CDMX,2022-01-14 10:00:37.809452363,Basico,,7.0,4.0,20.18,Uso medio,Adulto
10050,Mariana,Gomez,64.0,MTY,2022-01-14 16:34:55.723930982,Basico,,4.0,1.0,14.52,Bajo uso,Adulto Mayor
10051,Luis,Lopez,33.0,MTY,2022-01-14 23:09:13.638409602,Premium,,6.0,2.0,9.35,Uso medio,Adulto
10052,Luis,Garcia,40.0,Medellín,2022-01-15 05:43:31.552888222,Basico,,4.0,3.0,27.990000000000002,Bajo uso,Adulto
10053,Ana,Torres,24.0,CDMX,2022-01-15 12:17:49.467366841,Basico,,4.0,7.0,32.2,Uso medio,Joven
10054,Luis,Garcia,43.0,Medellín,2022-01-15 18:52:07.381845461,Premium,"1,72351E+18",6.0,2.0,1.19,Uso medio,Adulto
10055,Mateo,Lopez,49.0,CDMX,2022-01-16 01:26:25.296324081,Basico,,8.0,5.0,30.38,Uso medio,Adulto
10056,Luis,Garcia,29.0,CDMX,2024-05-10 00:00:00.000000000,Basico,"1,72187E+18",6.0,3.0,27.34,Uso medio,Joven
10057,Carlos,Garcia,25.0,Medellín,2022-01-16 14:35:01.125281320,Premium,,5.0,5.0,13.729999999999999,Uso medio,Joven
10058,Carlos,Lopez,22.0,MTY,2022-01-16 21:09:19.039759940,Premium,,2.0,9.0,37.73,Uso medio,Joven
10059,Carlos,Gomez,59.0,,2022-01-17 03:43:36.954238559,Premium,,6.0,3.0,38.79,Uso medio,Adulto
10060,Carlos,Torres,45.0,CDMX,2024-05-10 00:00:00.000000000,Basico,,6.0,7.0,39.2,Uso medio,Adulto
10061,Mateo,Lopez,70.0,Bogotá,2022-01-17 16:52:12.783195799,Basico,,9.0,7.0,26.01,Uso medio,Adulto Mayor
10062,Sofia,Ramirez,22.0,CDMX,2022-01-17 23:26:30.697674418,Premium,,6.0,2.0,3.62,Uso medio,Joven
10063,Mariana,Gomez,66.0,MTY,2022-01-18 06:00:48.612153038,Basico,,8.0,4.0,11.700000000000001,Uso medio,Adulto Mayor
10064,Ana,Ramirez,43.0,,2022-01-18 12:35:06.526631658,Premium,,9.0,2.0,8.559999999999999,Uso medio,Adulto
10065,Carlos,Gomez,22.0,,2022-01-18 19:09:24.441110277,Premium,,5.0,3.0,34.480000000000004,Uso medio,Joven
10066,Luis,Torres,39.0,CDMX,2022-01-19 01:43:42.355588897,Premium,,6.0,3.0,14.350000000000001,Uso medio,Adulto
10067,Carlos,Torres,32.0,Bogotá,2022-01-19 08:18:00.270067517,Basico,,5.0,5.0,19.48,Uso medio,Adulto
10068,Luis,Garcia,30.0,Medellín,2022-01-19 14:52:18.184546136,Basico,,4.0,3.0,13.96,Bajo uso,Adulto
10069,Mariana,Ramirez,45.0,GDL,2022-01-19 21:26:36.099024756,Basico,"1,72264E+18",3.0,7.0,38.120000000000005,Uso medio,Adulto
10070,Mariana,Gomez,50.0,CDMX,2024-05-10 00:00:00.000000000,Premium,,6.0,3.0,17.41,Uso medio,Adulto
10071,Mariana,Torres,60.0,,2022-01-20 10:35:11.927981995,Basico,,11.0,4.0,12.68,Alto uso,Adulto Mayor
10072,Luis,Lopez,40.0,,2022-01-20 17:09:29.842460615,Basico,,6.0,5.0,29.389999999999997,Uso medio,Adulto
10073,Carlos,Torres,50.0,,2022-01-20 23:43:47.756939235,Basico,"1,72817E+18",6.0,10.0,53.199999999999996,Alto uso,Adulto
10074,Mariana,Lopez,60.0,Cali,2022-01-21 06:18:05.671417854,Basico,,3.0,6.0,28.779999999999998,Uso medio,Adulto Mayor
10075,Mateo,Gomez,35.0,Medellín,2022-01-21 12:52:23.585896474,Basico,,5.0,6.0,17.369999999999997,Uso medio,Adulto
10076,Luis,Torres,67.0,MTY,2022-01-21 19:26:41.500375094,Basico,"1,73405E+18",9.0,0.0,0.0,Uso medio,Adulto Mayor
10077,Luis,Torres,70.0,CDMX,2022-01-22 02:00:59.414853713,Premium,,5.0,4.0,15.540000000000001,Uso medio,Adulto Mayor
10078,Carlos,Gomez,47.0,CDMX,2022-01-22 08:35:17.329332333,Basico,,7.0,4.0,8.99,Uso medio,Adulto
10079,Luis,Torres,43.0,Medellín,2022-01-22 15:09:35.243810952,Basico,,5.0,5.0,36.25,Uso medio,Adulto
10080,Luis,Lopez,33.0,Cali,2022-01-22 21:43:53.158289572,Premium,,5.0,5.0,50.74000000000001,Uso medio,Adulto
10081,Mariana,Torres,30.0,Cali,2022-01-23 04:18:11.072768192,Premium,,5.0,5.0,28.879999999999995,Uso medio,Adulto
10082,Carlos,Ramirez,56.0,,2022-01-23 10:52:28.987246811,Basico,"1,72463E+18",4.0,5.0,38.849999999999994,Uso medio,Adulto
10083,Mariana,Garcia,50.0,unknown,2022-01-23 17:26:46.901725431,Basico,,4.0,7.0,35.77,Uso medio,Adulto
10084,Mariana,Lopez,43.0,,2022-01-24 00:01:04.816204051,Premium,"1,73534E+18",5.0,2.0,5.05,Uso medio,Adulto
10085,Carlos,Ramirez,65.0,GDL,2022-01-24 06:35:22.730682670,Basico,,6.0,5.0,65.0,Uso medio,Adulto Mayor
10086,Ana,Gomez,18.0,Cali,2022-01-24 13:09:40.645161290,Basico,,7.0,5.0,17.52,Uso medio,Joven
10087,Mariana,Lopez,66.0,Bogotá,2022-01-24 19:43:58.559639910,Basico,,4.0,4.0,18.490000000000002,Bajo uso,Adulto Mayor
10088,Mateo,Garcia,55.0,GDL,2022-01-25 02:18:16.474118529,Basico,,6.0,3.0,9.7,Uso medio,Adulto
10089,Mateo,Garcia,19.0,,2022-01-25 08:52:34.388597149,Basico,,5.0,3.0,14.260000000000002,Uso medio,Joven
10090,Luis,Gomez,66.0,,2022-01-25 15:26:52.303075769,Premium,,7.0,8.0,32.63,Uso medio,Adulto Mayor
10091,Mateo,Gomez,23.0,CDMX,2022-01-25 22:01:10.217554388,Premium,,3.0,3.0,17.3,Bajo uso,Joven
10092,Luis,Lopez,63.0,CDMX,2022-01-26 04:35:28.132033008,Basico,,7.0,1.0,11.26,Uso medio,Adulto Mayor
10093,Ana,Torres,67.0,Medellín,2022-01-26 11:09:46.046511628,Basico,,2.0,7.0,65.0,Uso medio,Adulto Mayor
10094,Carlos,Gomez,55.0,Medellín,2022-01-26 17:44:03.960990247,Basico,,4.0,2.0,15.84,Bajo uso,Adulto
10095,Carlos,Torres,59.0,,2022-01-27 00:18:21.875468867,Basico,,9.0,9.0,28.24,Uso medio,Adulto
10096,Carlos,Ramirez,41.0,GDL,2022-01-27 06:52:39.789947487,Basico,,9.0,4.0,29.81,Uso medio,Adulto
10097,Mateo,Garcia,35.0,CDMX,2022-01-27 13:26:57.704426106,Premium,,5.0,5.0,11.2,Uso medio,Adulto
10098,Ana,Torres,44.0,GDL,2022-01-27 20:01:15.618904726,Premium,,5.0,3.0,17.869999999999997,Uso medio,Adulto
10099,Mateo,Garcia,58.0,CDMX,2022-01-28 02:35:33.533383346,Basico,"1,71763E+18",3.0,4.0,22.779999999999998,Bajo uso,Adulto
10100,Mateo,Torres,25.0,CDMX,2022-01-28 09:09:51.447861965,Premium,,9.0,2.0,12.34,Uso medio,Joven
10101,Ana,Ramirez,45.0,,2022-01-28 15:44:09.362340585,Basico,,7.0,5.0,17.08,Uso medio,Adulto
10102,Ana,Gomez,27.0,MTY,2022-01-28 22:18:27.276819205,Basico,,5.0,6.0,36.51,Uso medio,Joven
10103,Ana,Ramirez,34.0,Bogotá,2022-01-29 04:52:45.191297824,Basico,,7.0,3.0,15.03,Uso medio,Adulto
10104,Ana,Gomez,72.0,CDMX,2022-01-29 11:27:03.105776444,Premium,"1,72109E+18",5.0,4.0,11.09,Uso medio,Adulto Mayor
10105,Carlos,Gomez,79.0,GDL,2022-01-29 18:01:21.020255064,Premium,,5.0,3.0,9.15,Uso medio,Adulto Mayor
10106,Sofia,Garcia,46.0,Cali,2022-01-30 00:35:38.934733683,Premium,,11.0,5.0,19.07,Alto uso,Adulto
10107,Sofia,Ramirez,75.0,Medellín,2022-01-30 07:09:56.849212303,Basico,,6.0,4.0,14.08,Uso medio,Adulto Mayor
10108,Ana,Torres,23.0,Cali,2022-01-30 13:44:14.763690923,Basico,,6.0,6.0,30.22,Uso medio,Joven
10109,Sofia,Ramirez,31.0,Bogotá,2022-01-30 20:18:32.678169542,Basico,,7.0,4.0,15.440000000000001,Uso medio,Adulto
10110,Sofia,Garcia,39.0,MTY,2022-01-31 02:52:50.592648162,Basico,,7.0,3.0,14.81,Uso medio,Adulto
10111,Ana,Gomez,71.0,Bogotá,2022-01-31 09:27:08.507126782,Basico,,6.0,2.0,11.68,Uso medio,Adulto Mayor
10112,Sofia,Garcia,23.0,MTY,2022-01-31 16:01:26.421605401,Premium,,2.0,8.0,25.58,Uso medio,Joven
10113,Mateo,Lopez,43.0,Cali,2022-01-31 22:35:44.336084021,Premium,,4.0,3.0,16.240000000000002,Bajo uso,Adulto
10114,Luis,Lopez,56.0,GDL,2022-02-01 05:10:02.250562641,Basico,,3.0,5.0,27.91,Uso medio,Adulto
10115,Luis,Torres,29.0,Medellín,2022-02-01 11:44:20.165041260,Basico,,7.0,2.0,12.78,Uso medio,Joven
10116,Ana,Garcia,52.0,CDMX,2022-02-01 18:18:38.079519880,Basico,,3.0,11.0,44.32,Alto uso,Adulto
10117,Carlos,Torres,31.0,Medellín,2022-02-02 00:52:55.993998500,Premium,"1,73405E+18",5.0,3.0,7.68,Uso medio,Adulto
10118,Ana,Torres,39.0,,2022-02-02 07:27:13.908477119,Premium,,4.0,4.0,7.44,Bajo uso,Adulto
10119,Carlos,Lopez,68.0,Medellín,2022-02-02 14:01:31.822955739,Premium,,4.0,4.0,18.78,Bajo uso,Adulto Mayor
10120,Luis,Torres,40.0,Bogotá,2022-02-02 20:35:49.737434359,Basico,,7.0,3.0,24.38,Uso medio,Adulto
10121,Ana,Lopez,65.0,,2022-02-03 03:10:07.651912978,Basico,"1,72299E+18",2.0,6.0,28.109999999999996,Uso medio,Adulto Mayor
10122,Mariana,Gomez,24.0,Medellín,2022-02-03 09:44:25.566391598,Premium,,2.0,9.0,34.84,Uso medio,Joven
10123,Mateo,Garcia,57.0,GDL,2022-02-03 16:18:43.480870217,Premium,,10.0,2.0,9.4,Alto uso,Adulto
10124,Sofia,Torres,67.0,GDL,2022-02-03 22:53:01.395348837,Basico,,8.0,7.0,27.310000000000002,Uso medio,Adulto Mayor
10125,Carlos,Lopez,42.0,Medellín,2022-02-04 05:27:19.309827457,Basico,,5.0,6.0,28.409999999999997,Uso medio,Adulto
10126,Mariana,Ramirez,30.0,Medellín,2022-02-04 12:01:37.224306076,Basico,,6.0,6.0,25.020000000000003,Uso medio,Adulto
10127,Sofia,Torres,38.0,MTY,2022-02-04 18:35:55.138784696,Premium,,2.0,1.0,3.97,Bajo uso,Adulto
10128,Sofia,Gomez,58.0,MTY,2022-02-05 01:10:13.053263316,Premium,,3.0,3.0,3.0100000000000002,Bajo uso,Adulto
10129,Ana,Gomez,27.0,,2022-02-05 07:44:30.967741935,Premium,,8.0,4.0,11.34,Uso medio,Joven
10130,Sofia,Ramirez,70.0,CDMX,2022-02-05 14:18:48.882220555,Basico,,6.0,5.0,13.16,Uso medio,Adulto Mayor
10131,Mateo,Lopez,72.0,Bogotá,2022-02-05 20:53:06.796699175,Basico,,1.0,4.0,13.77,Bajo uso,Adulto Mayor
10132,Mariana,Torres,76.0,CDMX,2022-02-06 03:27:24.711177794,Basico,,10.0,3.0,17.08,Alto uso,Adulto Mayor
10133,Sofia,Lopez,26.0,Cali,2022-02-06 10:01:42.625656414,Premium,"1,7331E+18",6.0,0.0,0.0,Uso medio,Joven
10134,Ana,Gomez,32.0,CDMX,2022-02-06 16:36:00.540135034,Basico,,7.0,1.0,0.6,Uso medio,Adulto
10135,Mateo,Lopez,69.0,Medellín,2022-02-06 23:10:18.454613653,Premium,,6.0,6.0,21.91,Uso medio,Adulto Mayor
10136,Luis,Gomez,19.0,CDMX,2022-02-07 05:44:36.369092273,Basico,,3.0,1.0,3.44,Bajo uso,Joven
10137,Mariana,Lopez,42.0,Medellín,2022-02-07 12:18:54.283570893,Premium,,5.0,8.0,34.519999999999996,Uso medio,Adulto
10138,Sofia,Ramirez,30.0,Cali,2022-02-07 18:53:12.198049512,Premium,,4.0,4.0,19.42,Bajo uso,Adulto
10139,Ana,Garcia,51.0,MTY,2022-02-08 01:27:30.112528132,Basico,,6.0,1.0,7.93,Uso medio,Adulto
10140,Luis,Ramirez,68.0,Bogotá,2022-02-08 08:01:48.027006752,Premium,,9.0,1.0,4.37,Uso medio,Adulto Mayor
10141,Luis,Ramirez,75.0,Bogotá,2022-02-08 14:36:05.941485371,Basico,,4.0,4.0,3.92,Bajo uso,Adulto Mayor
10142,Carlos,Garcia,51.0,MTY,2022-02-08 21:10:23.855963991,Basico,,7.0,1.0,2.08,Uso medio,Adulto
10143,Mateo,Garcia,52.0,Cali,2022-02-09 03:44:41.770442611,Basico,,3.0,2.0,6.67,Bajo uso,Adulto
10144,Sofia,Torres,55.0,GDL,2022-02-09 10:18:59.684921230,Premium,,10.0,4.0,4.79,Alto uso,Adulto
10145,Ana,Torres,20.0,Medellín,2022-02-09 16:53:17.599399850,Premium,"1,7299E+18",4.0,3.0,8.299999999999999,Bajo uso,Joven
10146,Carlos,Ramirez,47.0,GDL,2022-02-09 23:27:35.513878470,Basico,,8.0,9.0,28.21,Uso medio,Adulto
10147,Mateo,Ramirez,59.0,GDL,2022-02-10 06:01:53.428357089,Premium,"1,71798E+18",2.0,5.0,26.63,Uso medio,Adulto
10148,Carlos,Gomez,73.0,MTY,2022-02-10 12:36:11.342835709,Premium,,3.0,4.0,23.599999999999998,Bajo uso,Adulto Mayor
10149,Mariana,Gomez,76.0,Bogotá,2022-02-10 19:10:29.257314329,Premium,,3.0,4.0,22.659999999999997,Bajo uso,Adulto Mayor
10150,Mateo,Torres,23.0,Bogotá,2022-02-11 01:44:47.171792948,Basico,"1,71936E+18",7.0,2.0,14.57,Uso medio,Joven
10151,Mateo,Torres,72.0,Medellín,2022-02-11 08:19:05.086271568,Basico,,10.0,1.0,4.62,Alto uso,Adulto Mayor
10152,Sofia,Gomez,65.0,GDL,2022-02-11 14:53:23.000750188,Premium,,6.0,8.0,50.010000000000005,Uso medio,Adulto Mayor
10153,Mateo,Gomez,66.0,CDMX,2022-02-11 21:27:40.915228807,Basico,,3.0,7.0,21.89,Uso medio,Adulto Mayor
10154,Carlos,Lopez,36.0,Cali,2022-02-12 04:01:58.829707427,Basico,,6.0,1.0,0.34,Uso medio,Adulto
10155,Mateo,Lopez,20.0,Cali,2022-02-12 10:36:16.744186046,Premium,,8.0,3.0,9.67,Uso medio,Joven
10156,Sofia,Gomez,35.0,CDMX,2022-02-12 17:10:34.658664666,Basico,,4.0,3.0,3.1899999999999995,Bajo uso,Adulto
10157,Sofia,Lopez,56.0,Medellín,2022-02-12 23:44:52.573143286,Premium,,6.0,4.0,6.9399999999999995,Uso medio,Adulto
10158,Mariana,Garcia,26.0,MTY,2022-02-13 06:19:10.487621905,Basico,"1,72506E+18",8.0,7.0,32.81,Uso medio,Joven
10159,Carlos,Torres,69.0,Cali,2022-02-13 12:53:28.402100525,Premium,,11.0,3.0,19.729999999999997,Alto uso,Adulto Mayor
10160,Luis,Torres,29.0,unknown,2022-02-13 19:27:46.316579145,Basico,,8.0,2.0,9.3,Uso medio,Joven
10161,Luis,Gomez,22.0,unknown,2022-02-14 02:02:04.231057764,Basico,,4.0,6.0,15.86,Uso medio,Joven
10162,Mateo,Ramirez,20.0,Cali,2022-02-14 08:36:22.145536384,Basico,,7.0,6.0,19.17,Uso medio,Joven
10163,Mariana,Gomez,28.0,GDL,2022-02-14 15:10:40.060015004,Premium,,7.0,6.0,42.559999999999995,Uso medio,Joven
10164,Ana,Lopez,74.0,Cali,2022-02-14 21:44:57.974493623,Premium,,4.0,5.0,23.59,Uso medio,Adulto Mayor
10165,Mateo,Ramirez,47.0,Bogotá,2022-02-15 04:19:15.888972243,Basico,,6.0,4.0,9.430000000000001,Uso medio,Adulto
10166,Mariana,Lopez,21.0,CDMX,2022-02-15 10:53:33.803450863,Basico,"1,71936E+18",9.0,4.0,15.12,Uso medio,Joven
10167,Carlos,Garcia,22.0,Bogotá,2022-02-15 17:27:51.717929482,Basico,,5.0,4.0,23.53,Uso medio,Joven
10168,Carlos,Lopez,18.0,,2022-02-16 00:02:09.632408102,Basico,,7.0,4.0,8.030000000000001,Uso medio,Joven
10169,Carlos,Garcia,44.0,,2022-02-16 06:36:27.546886722,Premium,,4.0,4.0,8.07,Bajo uso,Adulto
10170,Carlos,Garcia,45.0,CDMX,2022-02-16 13:10:45.461365341,Basico,,4.0,5.0,19.17,Uso medio,Adulto
10171,Carlos,Lopez,47.0,Medellín,2022-02-16 19:45:03.375843961,Basico,"1,72368E+18",3.0,8.0,38.72,Uso medio,Adulto
10172,Mariana,Lopez,46.0,Cali,2022-02-17 02:19:21.290322581,Premium,,8.0,7.0,42.15,Uso medio,Adulto
10173,Mariana,Garcia,35.0,GDL,2022-02-17 08:53:39.204801200,Premium,,4.0,8.0,41.67,Uso medio,Adulto
10174,Sofia,Ramirez,29.0,Bogotá,2022-02-17 15:27:57.119279820,Premium,,5.0,0.0,0.0,Uso medio,Joven
10175,Luis,Garcia,30.0,Medellín,2022-02-17 22:02:15.033758440,Basico,,2.0,5.0,30.94,Uso medio,Adulto
10176,Carlos,Torres,58.0,Bogotá,2022-02-18 04:36:32.948237059,Basico,,8.0,2.0,7.75,Uso medio,Adulto
10177,Ana,Garcia,19.0,CDMX,2022-02-18 11:10:50.862715679,Basico,,6.0,2.0,6.119999999999999,Uso medio,Joven
10178,Mariana,Ramirez,54.0,Medellín,2022-02-18 17:45:08.777194299,Basico,,7.0,6.0,30.57,Uso medio,Adulto
10179,Ana,Torres,62.0,,2022-02-19 00:19:26.691672918,Premium,,4.0,6.0,31.93,Uso medio,Adulto Mayor
10180,Ana,Gomez,33.0,Medellín,2022-02-19 06:53:44.606151538,Premium,"1,72895E+18",7.0,4.0,12.21,Uso medio,Adulto
10181,Ana,Gomez,65.0,Cali,2022-02-19 13:28:02.520630158,Basico,,2.0,2.0,26.08,Bajo uso,Adulto Mayor
10182,Sofia,Ramirez,41.0,MTY,2022-02-19 20:02:20.435108777,Basico,"1,72022E+18",5.0,5.0,20.159999999999997,Uso medio,Adulto
10183,Mariana,Garcia,52.0,GDL,2022-02-20 02:36:38.349587397,Basico,,5.0,5.0,11.739999999999998,Uso medio,Adulto
10184,Ana,Lopez,39.0,Medellín,2022-02-20 09:10:56.264066017,Basico,,6.0,6.0,57.31,Uso medio,Adulto
10185,Carlos,Ramirez,53.0,MTY,2022-02-20 15:45:14.178544636,Basico,,5.0,7.0,40.739999999999995,Uso medio,Adulto
10186,Mateo,Torres,28.0,unknown,2022-02-20 22:19:32.093023256,Basico,,2.0,3.0,22.2,Bajo uso,Joven
10187,Ana,Torres,72.0,CDMX,2022-02-21 04:53:50.007501875,Basico,,7.0,2.0,10.620000000000001,Uso medio,Adulto Mayor
10188,Sofia,Gomez,75.0,Bogotá,2022-02-21 11:28:07.921980495,Basico,,2.0,9.0,49.860000000000014,Uso medio,Adulto Mayor
10189,Mariana,Torres,63.0,MTY,2022-02-21 18:02:25.836459115,Basico,,9.0,4.0,65.0,Uso medio,Adulto Mayor
10190,Sofia,Ramirez,46.0,,2022-02-22 00:36:43.750937734,Basico,,2.0,6.0,22.810000000000002,Uso medio,Adulto
10191,Ana,Torres,52.0,CDMX,2022-02-22 07:11:01.665416354,Basico,,5.0,5.0,34.89,Uso medio,Adulto
10192,Mariana,Ramirez,65.0,CDMX,2022-02-22 13:45:19.579894974,Premium,,11.0,5.0,40.24,Alto uso,Adulto Mayor
10193,Mateo,Lopez,71.0,GDL,2022-02-22 20:19:37.494373594,Basico,,3.0,7.0,26.880000000000003,Uso medio,Adulto Mayor
10194,Ana,Gomez,32.0,Cali,2022-02-23 02:53:55.408852213,Basico,,5.0,5.0,6.66,Uso medio,Adulto
10195,Sofia,Torres,77.0,GDL,2022-02-23 09:28:13.323330833,Basico,,6.0,2.0,11.35,Uso medio,Adulto Mayor
10196,Luis,Ramirez,48.0,GDL,2022-02-23 16:02:31.237809453,Premium,,8.0,7.0,28.45,Uso medio,Adulto
10197,Carlos,Garcia,59.0,CDMX,2022-02-23 22:36:49.152288072,Basico,,3.0,2.0,3.56,Bajo uso,Adulto
10198,Sofia,Gomez,58.0,Medellín,2022-02-24 05:11:07.066766692,Basico,"1,73033E+18",8.0,9.0,65.0,Uso medio,Adulto
